exp,xMIC,MIC,conc,response,ab,date,char,author,organism,strain,prot,cfu,prot_t0,cfu_t0,notes_1,col_1,col_2,col_3,col_t0_1,col_t0_2,col_t0_3,response_sd,cfu_mL,cfu_mg,cfu_t0_mL,ab_f,CURVE
extra,0.003,2,0.003,2.7642568602,pmb,171101,0,vv,p_aeruginosa,ATCC27853,,400,,0.633,"",1,2,3,28,28,39,,2e+08,,316500,pmb,1
extra,0.01,2,0.01,2.7642568602,pmb,171101,0,vv,p_aeruginosa,ATCC27853,,533,,0.633,"",1,1,6,28,28,39,,266500000,,316500,pmb,1
extra,0.03,2,0.03,2.6334680964,pmb,171101,0,vv,p_aeruginosa,ATCC27853,,273,,0.633,"",13,17,11,28,28,39,,136500000,,316500,pmb,1
extra,0.1,2,0.1,2.3217459646,pmb,171101,0,vv,p_aeruginosa,ATCC27853,,137,,0.633,"",80,84,42,28,28,39,,68500000,,316500,pmb,1
extra,0.3,2,0.3,-0.5435526351,pmb,171101,0,vv,p_aeruginosa,ATCC27853,,0.227,,0.633,"",104,34,2024,28,28,39,,113500,,316500,pmb,1
extra,1,2,1,-0.5254946901,pmb,171101,0,vv,p_aeruginosa,ATCC27853,,0.226,,0.633,"",35,152,1524,28,28,39,,113000,,316500,pmb,1
extra,3,2,3,,pmb,171101,0,vv,p_aeruginosa,ATCC27853,,,,0.633,"",,,,28,28,39,,,,316500,pmb,1
extra,10,2,10,,pmb,171101,0,vv,p_aeruginosa,ATCC27853,,,,0.633,"",,,,28,28,39,,,,316500,pmb,1
extra,30,2,30,,pmb,171101,0,vv,p_aeruginosa,ATCC27853,,,,0.633,"",,,,28,28,39,,,,316500,pmb,1
extra,100,2,100,,pmb,171101,0,vv,p_aeruginosa,ATCC27853,,,,0.633,"",,,,28,28,39,,,,316500,pmb,1
extra,0.3,2,0.6,-0.6489356453,pmb,171101,1,vv,p_aeruginosa,ATCC27853,,0.197,,0.633,"",72,24,2000,28,28,39,,98500,,316500,pmb,2
