date	growth_medium	time_h	rep	od620	pH	group	overnight_medium	tube
2018-07-11	NA	-1	bio1	6.55	NA	PA	pH7.4	glass
2018-07-11	NA	-1	bio2	6.46	NA	PA	pH7.4	glass
2018-07-11	NA	-1	bio3	6.55	NA	PA	pH7.4	glass
2018-07-11	NA	-1	bio4	6.64	NA	PA	pH7.4	glass
2018-07-11	pH5.5	0	bio1	0.0025	5.6	PA	pH7.4	falcon
2018-07-11	pH5.5	0	bio2	0.0025	5.58	PA	pH7.4	falcon
2018-07-11	pH5.5	0	bio3	0.0025	5.57	PA	pH7.4	falcon
2018-07-11	pH5.5	0	bio4	0.0025	5.57	PA	pH7.4	falcon
2018-07-11	pH5.5	1	bio1	0.0025	5.6	PA	pH7.4	falcon
2018-07-11	pH5.5	1	bio2	0.0025	5.58	PA	pH7.4	falcon
2018-07-11	pH5.5	1	bio3	0.0025	5.57	PA	pH7.4	falcon
2018-07-11	pH5.5	1	bio4	0.0025	5.58	PA	pH7.4	falcon
2018-07-11	pH5.5	2	bio1	0.0025	5.6	PA	pH7.4	falcon
2018-07-11	pH5.5	2	bio2	0.0025	5.58	PA	pH7.4	falcon
2018-07-11	pH5.5	2	bio3	0.0025	5.58	PA	pH7.4	falcon
2018-07-11	pH5.5	2	bio4	0.0025	5.57	PA	pH7.4	falcon
2018-07-11	pH5.5	3	bio1	0.007	5.62	PA	pH7.4	falcon
2018-07-11	pH5.5	3	bio2	0.004	5.6	PA	pH7.4	falcon
2018-07-11	pH5.5	3	bio3	0.004	5.61	PA	pH7.4	falcon
2018-07-11	pH5.5	3	bio4	0.006	5.61	PA	pH7.4	falcon
2018-07-11	pH5.5	4	bio1	0.039	5.72	PA	pH7.4	falcon
2018-07-11	pH5.5	4	bio2	0.02	5.66	PA	pH7.4	falcon
2018-07-11	pH5.5	4	bio3	0.03	5.68	PA	pH7.4	falcon
2018-07-11	pH5.5	4	bio4	0.03	5.69	PA	pH7.4	falcon
2018-07-11	pH5.5	5	bio1	0.052	5.82	PA	pH7.4	falcon
2018-07-11	pH5.5	5	bio2	0.042	5.76	PA	pH7.4	falcon
2018-07-11	pH5.5	5	bio3	0.044	5.77	PA	pH7.4	falcon
2018-07-11	pH5.5	5	bio4	0.046	5.77	PA	pH7.4	falcon
2018-07-11	pH5.5	6	bio1	0.092	6.01	PA	pH7.4	falcon
2018-07-11	pH5.5	6	bio2	0.073	5.93	PA	pH7.4	falcon
2018-07-11	pH5.5	6	bio3	0.089	5.98	PA	pH7.4	falcon
2018-07-11	pH5.5	6	bio4	0.079	5.95	PA	pH7.4	falcon
2018-07-11	pH5.5	7	bio1	0.186	6.35	PA	pH7.4	falcon
2018-07-11	pH5.5	7	bio2	0.146	6.21	PA	pH7.4	falcon
2018-07-11	pH5.5	7	bio3	0.155	6.28	PA	pH7.4	falcon
2018-07-11	pH5.5	7	bio4	0.162	6.29	PA	pH7.4	falcon
2018-07-11	pH5.5	8	bio1	0.365	6.75	PA	pH7.4	falcon
2018-07-11	pH5.5	8	bio2	0.313	6.65	PA	pH7.4	falcon
2018-07-11	pH5.5	8	bio3	0.343	6.73	PA	pH7.4	falcon
2018-07-11	pH5.5	8	bio4	0.339	6.69	PA	pH7.4	falcon
2018-07-11	pH5.5	9	bio1	0.966	7.15	PA	pH7.4	falcon
2018-07-11	pH5.5	9	bio2	0.712	7	PA	pH7.4	falcon
2018-07-11	pH5.5	9	bio3	0.852	7.03	PA	pH7.4	falcon
2018-07-11	pH5.5	9	bio4	0.91	7.07	PA	pH7.4	falcon
2018-07-11	pH5.5	24	bio1	3.25	7.24	PA	pH7.4	falcon
2018-07-11	pH5.5	24	bio2	3.26	7.23	PA	pH7.4	falcon
2018-07-11	pH5.5	24	bio3	3.44	7.24	PA	pH7.4	falcon
2018-07-11	pH5.5	24	bio4	3.7	7.24	PA	pH7.4	falcon
2018-08-03	pH7.4	-1	bio1	7.35	NA	PA	pH7.4	falcon
2018-08-03	pH7.4	-1	bio2	7.34	NA	PA	pH7.4	falcon
2018-08-03	pH7.4	-1	bio3	7.34	NA	PA	pH7.4	falcon
2018-08-03	pH7.4	-1	bio4	7.34	NA	PA	pH7.4	falcon
2018-08-03	pH7.4	0	bio1	0.008	7.28	PA	pH7.4	falcon
2018-08-03	pH7.4	0	bio2	0.006	7.27	PA	pH7.4	falcon
2018-08-03	pH7.4	0	bio3	0.003	7.28	PA	pH7.4	falcon
2018-08-03	pH7.4	0	bio4	0.006	7.35	PA	pH7.4	falcon
2018-08-03	pH7.4	2	bio1	0.054	7.32	PA	pH7.4	falcon
2018-08-03	pH7.4	2	bio2	0.054	7.31	PA	pH7.4	falcon
2018-08-03	pH7.4	2	bio3	0.044	7.31	PA	pH7.4	falcon
2018-08-03	pH7.4	2	bio4	0.055	7.35	PA	pH7.4	falcon
2018-08-03	pH7.4	3	bio1	0.091	7.36	PA	pH7.4	falcon
2018-08-03	pH7.4	3	bio2	0.093	7.34	PA	pH7.4	falcon
2018-08-03	pH7.4	3	bio3	0.075	7.34	PA	pH7.4	falcon
2018-08-03	pH7.4	3	bio4	0.103	7.4	PA	pH7.4	falcon
2018-08-03	pH7.4	4	bio1	0.154	7.41	PA	pH7.4	falcon
2018-08-03	pH7.4	4	bio2	0.161	7.39	PA	pH7.4	falcon
2018-08-03	pH7.4	4	bio3	0.122	7.37	PA	pH7.4	falcon
