exp,date,ab_1,ab_2,d_1,d_2,xMIC_1,xMIC_2,cfu,time_h,effect,effect_sd,author,organism,strain,col_1,col_2,col_3,MIC_1,MIC_2,char,notes,group,rep,condition,broth,prot
extra,180802,rif,pmb,0,0,0,0,0.76,0,0,0.13,vv,p_aeruginosa,ATCC27850,380,492,380,16,1,0,,1,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,0,0,0,0,0.76,0,0,0.13,vv,p_aeruginosa,ATCC27850,380,492,380,16,1,0,,2,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,0,0,0,0,0.76,0,0,0.13,vv,p_aeruginosa,ATCC27850,380,492,380,16,1,0,,3,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,0,0,0,0,0.76,0,0,0.13,vv,p_aeruginosa,ATCC27850,380,492,380,16,1,0,,4,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,0,0,0,0,0.76,0,0,0.13,vv,p_aeruginosa,ATCC27850,380,492,380,16,1,0,,5,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,0,0,0,0,0.76,0,0,0.13,vv,p_aeruginosa,ATCC27850,380,492,380,16,1,0,,6,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,0,0,0,0,NA,0.25,NA,NA,vv,p_aeruginosa,ATCC27851,NA,,,16,1,0,,1,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,4.8,0,0.3,0,NA,0.25,NA,NA,vv,p_aeruginosa,ATCC27853,NA,,,16,1,0,,2,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,0,1,0,1,NA,0.25,NA,NA,vv,p_aeruginosa,ATCC27853,NA,,,16,1,0,,3,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,4.8,1,0.3,1,NA,0.25,NA,NA,vv,p_aeruginosa,ATCC27853,NA,,,16,1,0,,4,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,48,0,3,0,NA,0.25,NA,NA,vv,p_aeruginosa,ATCC27853,NA,,,16,1,0,,5,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,0,10,0,10,NA,0.25,NA,NA,vv,p_aeruginosa,ATCC27853,NA,,,16,1,0,,6,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,0,0,0,0,NA,0.5,NA,NA,vv,p_aeruginosa,ATCC27851,NA,,,16,1,0,,1,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,4.8,0,0.3,0,NA,0.5,NA,NA,vv,p_aeruginosa,ATCC27853,NA,,,16,1,0,,2,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,0,1,0,1,NA,0.5,NA,NA,vv,p_aeruginosa,ATCC27853,NA,,,16,1,0,,3,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,4.8,1,0.3,1,NA,0.5,NA,NA,vv,p_aeruginosa,ATCC27853,NA,,,16,1,0,,4,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,48,0,3,0,NA,0.5,NA,NA,vv,p_aeruginosa,ATCC27853,NA,,,16,1,0,,5,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,0,10,0,10,NA,0.5,NA,NA,vv,p_aeruginosa,ATCC27853,NA,,,16,1,0,,6,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,0,0,0,0,NA,0.75,NA,NA,vv,p_aeruginosa,ATCC27851,NA,,,16,1,0,,1,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,4.8,0,0.3,0,NA,0.75,NA,NA,vv,p_aeruginosa,ATCC27853,NA,,,16,1,0,,2,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,0,1,0,1,NA,0.75,NA,NA,vv,p_aeruginosa,ATCC27853,NA,,,16,1,0,,3,bio0,conical_plastic_infors,MHBII_pH7.4,
extra,180802,rif,pmb,4.8,1,0.3,1,NA,0.75,NA,NA,vv,p_aeruginosa,ATCC27853,NA,,,16,1,0,,4,bio0,conical_plastic_infors,MHBII_pH7.4,
