"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16127996","b0002","NP_414543.1","fused aspartokinase I and homoserine dehydrogenase I","57977","Pseudomonas aeruginosa UCBPP-PA14","116048828","PA14_52580","WP_003085971.1","aspartate kinase","2","b3940[fused aspartokinase II/homoserine dehydrogenase II];b4024[aspartokinase III]","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16127998","b0004","NP_414545.1","threonine synthase","57977","Pseudomonas aeruginosa UCBPP-PA14","116051733","PA14_16090","WP_003092622.1","threonine synthase","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128000","b0006","NP_414547.1","conserved protein, UPF0246 family","57977","Pseudomonas aeruginosa UCBPP-PA14","116051538","PA14_18590","WP_003138105.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128001","b0007","NP_414548.1","predicted transporter","57977","Pseudomonas aeruginosa UCBPP-PA14","116051638","PA14_17250","WP_003138024.1","putative amino acid permease","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128002","b0008","NP_414549.1","transaldolase B","57977","Pseudomonas aeruginosa UCBPP-PA14","116050796","PA14_27960","WP_003090868.1","transaldolase B","1","b2464[transaldolase A]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128005","b0011","NP_414552.1","conserved protein, UPF0174 family","57977","Pseudomonas aeruginosa UCBPP-PA14","116053987","PA14_03370","WP_016254330.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128005","b0011","NP_414552.1","conserved protein, UPF0174 family","57977","Pseudomonas aeruginosa UCBPP-PA14","116053986","PA14_03360","WP_003137196.1","hypothetical protein","1","","PA14_03370[hypothetical protein]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128008","b0014","NP_414555.1","chaperone Hsp70, co-chaperone with DnaJ","57977","Pseudomonas aeruginosa UCBPP-PA14","116052908","PA14_62970","WP_003095212.1","molecular chaperone DnaK","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128009","b0015","NP_414556.1","chaperone Hsp40, co-chaperone with DnaK","57977","Pseudomonas aeruginosa UCBPP-PA14","116052907","PA14_62960","WP_003095211.1","chaperone protein DnaJ","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128017","b0023","NP_414564.1","30S ribosomal subunit protein S20","57977","Pseudomonas aeruginosa UCBPP-PA14","116052706","PA14_60400","WP_003094744.1","30S ribosomal protein S20","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128019","b0025","NP_414566.1","bifunctional riboflavin kinase/FAD synthetase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052704","PA14_60380","WP_003110419.1","bifunctional riboflavin kinase/FMN adenylyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128020","b0026","NP_414567.1","isoleucyl-tRNA synthetase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052703","PA14_60370","WP_003141556.1","isoleucyl-tRNA synthetase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128021","b0027","NP_414568.1","prolipoprotein signal peptidase (signal peptidase II)","57977","Pseudomonas aeruginosa UCBPP-PA14","116052702","PA14_60360","WP_003094728.1","lipoprotein signal peptidase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128022","b0028","NP_414569.1","FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)","57977","Pseudomonas aeruginosa UCBPP-PA14","116052701","PA14_60350","WP_003102613.1","peptidyl-prolyl cis-trans isomerase, FkbP-type","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128023","b0029","NP_414570.1","4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein","57977","Pseudomonas aeruginosa UCBPP-PA14","116052700","PA14_60330","WP_003094724.1","4-hydroxy-3-methylbut-2-enyl diphosphate reductase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128025","b0031","NP_414572.1","dihydrodipicolinate reductase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052906","PA14_62940","WP_003095210.1","dihydrodipicolinate reductase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128026","b0032","NP_414573.1","carbamoyl phosphate synthetase small subunit, glutamine amidotransferase","57977","Pseudomonas aeruginosa UCBPP-PA14","116052905","PA14_62930","WP_011666772.1","carbamoyl phosphate synthase small subunit","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128027","b0033","NP_414574.1","carbamoyl-phosphate synthase large subunit","57977","Pseudomonas aeruginosa UCBPP-PA14","116052903","PA14_62910","WP_003095207.1","carbamoyl phosphate synthase large subunit","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128033","b0039","NP_414581.1","crotonobetaine reductase subunit II, FAD-binding","57977","Pseudomonas aeruginosa UCBPP-PA14","116048661","PA14_54630","WP_003140948.1","acyl-CoA dehydrogenase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128033","b0039","NP_414581.1","crotonobetaine reductase subunit II, FAD-binding","57977","Pseudomonas aeruginosa UCBPP-PA14","116050496","PA14_31540","WP_003139055.1","putative acyl-CoA dehydrogenase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128033","b0039","NP_414581.1","crotonobetaine reductase subunit II, FAD-binding","57977","Pseudomonas aeruginosa UCBPP-PA14","116053142","PA14_66040","WP_003095742.1","putative acyl-CoA dehydrogenase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128033","b0039","NP_414581.1","crotonobetaine reductase subunit II, FAD-binding","57977","Pseudomonas aeruginosa UCBPP-PA14","116050157","PA14_35970","WP_011666661.1","Acyl-CoA dehydrogenase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128033","b0039","NP_414581.1","crotonobetaine reductase subunit II, FAD-binding","57977","Pseudomonas aeruginosa UCBPP-PA14","116049966","PA14_38440","WP_003088600.1","citronelloyl-CoA dehydrogenase, GnyD","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128033","b0039","NP_414581.1","crotonobetaine reductase subunit II, FAD-binding","57977","Pseudomonas aeruginosa UCBPP-PA14","116049576","PA14_43420","WP_003109952.1","putative acyl-CoA dehydrogenase","5","","PA14_54630[acyl-CoA dehydrogenase];PA14_31540[putative acyl-CoA dehydrogenase];PA14_66040[putative acyl-CoA dehydrogenase];PA14_35970[Acyl-CoA dehydrogenase];PA14_38440[citronelloyl-CoA dehydrogenase, GnyD]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111081","b0041","NP_414583.2","predicted electron transfer flavoprotein subunit, required for anaerobic carnitine reduction","57977","Pseudomonas aeruginosa UCBPP-PA14","116050954","PA14_25860","WP_003091107.1","electron transfer flavoprotein beta-subunit","1","b1697[conserved protein]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128036","b0042","NP_414584.1","predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein","57977","Pseudomonas aeruginosa UCBPP-PA14","116050953","PA14_25880","WP_003091099.1","electron transfer flavoprotein alpha-subunit","1","b1698[predicted electron transfer flavoprotein, FAD-binding subunit]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128037","b0043","NP_414585.1","predicted oxidoreductase with FAD/NAD(P)-binding domain","57977","Pseudomonas aeruginosa UCBPP-PA14","116050955","PA14_25840","WP_003138616.1","electron transfer flavoprotein-ubiquinone oxidoreductase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128039","b0045","NP_414587.1","predicted transporter","57977","Pseudomonas aeruginosa UCBPP-PA14","116052229","PA14_09740","WP_003129340.1","putative MFS transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128040","b0046","NP_414588.1","flavoprotein subunit for the KefC potassium efflux system","57977","Pseudomonas aeruginosa UCBPP-PA14","116049177","PA14_48440","WP_003140470.1","putative NAD(P)H dehydrogenase","1","b3351[component of potassium effux complex with KefB]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128040","b0046","NP_414588.1","flavoprotein subunit for the KefC potassium efflux system","57977","Pseudomonas aeruginosa UCBPP-PA14","116053123","PA14_65760","WP_003102071.1","NAD(P)H quinone oxidoreductase","2","b3351[component of potassium effux complex with KefB]","PA14_48440[putative NAD(P)H dehydrogenase]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128041","b0047","NP_414589.1","potassium:proton antiporter","57977","Pseudomonas aeruginosa UCBPP-PA14","116049155","PA14_48700","WP_003086638.1","glutathione-regulated potassium-efflux system protein KefB","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128042","b0048","NP_414590.1","dihydrofolate reductase","57977","Pseudomonas aeruginosa UCBPP-PA14","116054078","PA14_04580","WP_003084430.1","dihydrofolate reductase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128043","b0049","NP_414591.1","diadenosine tetraphosphatase","57977","Pseudomonas aeruginosa UCBPP-PA14","116054318","PA14_07700","WP_003113213.1","diadenosine tetraphosphatase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128044","b0050","NP_414592.1","protein associated with Co2+ and Mg2+ efflux","57977","Pseudomonas aeruginosa UCBPP-PA14","116054319","PA14_07710","WP_003085085.1","ApaG","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128045","b0051","NP_414593.1","16S rRNA dimethyladenosine transferase, SAM-dependent","57977","Pseudomonas aeruginosa UCBPP-PA14","116054320","PA14_07730","WP_003099569.1","dimethyladenosine transferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128046","b0052","NP_414594.1","4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent","57977","Pseudomonas aeruginosa UCBPP-PA14","116054321","PA14_07740","WP_003137368.1","4-hydroxythreonine-4-phosphate dehydrogenase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128047","b0053","NP_414595.1","peptidyl-prolyl cis-trans isomerase (PPIase)","57977","Pseudomonas aeruginosa UCBPP-PA14","116054322","PA14_07760","WP_003109024.1","peptidyl-prolyl cis-trans isomerase SurA","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128048","b0054","NP_414596.1","LPS assembly OM complex LptDE, beta-barrel component","57977","Pseudomonas aeruginosa UCBPP-PA14","116054323","PA14_07770","WP_003137369.1","organic solvent tolerance protein OstA precursor","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128049","b0055","NP_414597.1","DnaJ-like protein, membrane anchored","57977","Pseudomonas aeruginosa UCBPP-PA14","116054326","PA14_07800","WP_003099547.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128052","b0058","NP_414600.1","pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)","57977","Pseudomonas aeruginosa UCBPP-PA14","116051259","PA14_22000","WP_003091582.1","pseudouridine synthase RluA","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128053","b0059","NP_414601.1","RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)","57977","Pseudomonas aeruginosa UCBPP-PA14","116051324","PA14_21230","WP_016254262.1","ATP-dependent helicase HepA","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128054","b0060","NP_414602.1","DNA polymerase II","57977","Pseudomonas aeruginosa UCBPP-PA14","116049840","PA14_40120","WP_016254161.1","DNA polymerase II","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128055","b0061","NP_414603.1","L-ribulose-5-phosphate 4-epimerase","57977","Pseudomonas aeruginosa UCBPP-PA14","116049632","PA14_42740","WP_003110430.1","methylthioribulose-1-phosphate dehydratase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128059","b0065","NP_414607.1","inner membrane protein, SNARE_assoc family","57977","Pseudomonas aeruginosa UCBPP-PA14","116052049","PA14_11960","WP_003110372.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128062","b0068","NP_414610.1","thiamin transporter subunit","57977","Pseudomonas aeruginosa UCBPP-PA14","116052832","PA14_62000","WP_031627775.1","ferric iron-binding periplasmic protein HitA","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128065","b0071","NP_414613.1","3-isopropylmalate dehydratase small subunit","57977","Pseudomonas aeruginosa UCBPP-PA14","116051116","PA14_23760","WP_003138498.1","isopropylmalate isomerase small subunit","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128066","b0072","NP_414614.1","3-isopropylmalate dehydratase large subunit","57977","Pseudomonas aeruginosa UCBPP-PA14","116051117","PA14_23750","WP_003091399.1","isopropylmalate isomerase large subunit","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111082","b0073","NP_414615.4","3-isopropylmalate dehydrogenase, NAD(+)-dependent","57977","Pseudomonas aeruginosa UCBPP-PA14","116051114","PA14_23790","WP_003091395.1","3-isopropylmalate dehydrogenase","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128068","b0074","NP_414616.1","2-isopropylmalate synthase","57977","Pseudomonas aeruginosa UCBPP-PA14","116049165","PA14_48570","WP_003086676.1","putative 2-isopropylmalate synthase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111083","b0076","NP_414618.4","DNA-binding transcriptional activator","57977","Pseudomonas aeruginosa UCBPP-PA14","116050061","PA14_37140","WP_003122789.1","LysR family transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111083","b0076","NP_414618.4","DNA-binding transcriptional activator","57977","Pseudomonas aeruginosa UCBPP-PA14","116051336","PA14_21080","WP_003138279.1","LysR family transcriptional activator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111083","b0076","NP_414618.4","DNA-binding transcriptional activator","57977","Pseudomonas aeruginosa UCBPP-PA14","116050495","PA14_31560","WP_003139057.1","LysR family transcriptional regulator","3","","PA14_37140[LysR family transcriptional regulator];PA14_21080[LysR family transcriptional activator];PA14_46330[putative transcriptional regulator]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111083","b0076","NP_414618.4","DNA-binding transcriptional activator","57977","Pseudomonas aeruginosa UCBPP-PA14","116049345","PA14_46330","WP_003140315.1","putative transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111084","b0077","YP_025294.2","acetolactate synthase III, large subunit","57977","Pseudomonas aeruginosa UCBPP-PA14","116052842","PA14_62160","WP_003095071.1","acetolactate synthase 3 catalytic subunit","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128071","b0078","NP_414620.1","acetolactate synthase III, thiamin-dependent, small subunit","57977","Pseudomonas aeruginosa UCBPP-PA14","116052841","PA14_62150","WP_003095069.1","acetolactate synthase 3 regulatory subunit","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128073","b0080","NP_414622.1","DNA-binding transcriptional dual regulator","57977","Pseudomonas aeruginosa UCBPP-PA14","116051560","PA14_18230","WP_003104372.1","DNA-binding transcriptional regulator FruR","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128074","b0081","NP_414623.1","conserved protein, MraZ family","57977","Pseudomonas aeruginosa UCBPP-PA14","116052454","PA14_57460","WP_003103101.1","cell division protein MraZ","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128075","b0082","NP_414624.1","16S rRNA m(4)C1402 methyltranserfase, SAM-dependent","57977","Pseudomonas aeruginosa UCBPP-PA14","116052453","PA14_57450","WP_031632714.1","S-adenosyl-methyltransferase MraW","","","","SSD"
