"Plate name 96",96," 384 plate","Row 384","Column 384","1536 plate","1536 row","1536 column",Comment,MutantID,"PA14 Genomic Position","PA14 Genome BLASTN Bit Score","Unambiguous Insertion Location?","""Active"" Gene Locus","""Active"" GeneID","Tn insertion position within ""Active"" Gene (bp)","""Active"" Gene Length (bp)","PAO1 ortholog of ""Active"" gene","""Active"" Gene Name","""Active"" Gene Description","All predicted Gene Locus Names (Intragenic Position/Gene Length), ('*' indicates ""Active"" gene)","All Predicted GeneIDs","PAO1 Orthologs","PA14 NR Set Comments",,,,,
ExMr_nr_mas_01_1,A1,16,1,1,4,2,2,,,,,,EMPTY,,,,,,,,,,"Empty Well",,,,,
ExMr_nr_mas_01_1,A2,16,1,3,4,2,6,,13905,3340819,204,Y,PA14_37530,GID2429,35,903,PA2086,,hydrolase,PA14_37530(35/903),GID2429,PA2086,,,,,,"COG0596|Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily) [General function prediction only]"
ExMr_nr_mas_01_1,A3,16,1,5,4,2,10,,14051,5930427,60,Y,PA14_66480,GID3137,159,768,PA5028,,"hypothetical protein","""""""PA14_66480(159/768)""","""PA14_66470*(685/1326)""""""","""""""GID3137""","""GID6836""""""",PA5028,,,,"COG0003|Predicted ATPase involved in chromosome partitioning [Cell division and chromosome partitioning]"
ExMr_nr_mas_01_1,A4,16,1,7,4,2,14,,14319,157238,97.6,Y,PA14_01720,GID734,367,1566,PA0140,ahpF,"alkyl hydroperoxide reductase","""""""PA14_01720(367/1566)""","""PA14_01700*(1173/2346)""""""","""""""GID734""","""GID7027""""""",PA0140,,,,"COG3634|Alkyl hydroperoxide reductase, large subunit [Posttranslational modification, protein turnover, chaperones]"
ExMr_nr_mas_01_1,A5,16,1,9,4,2,18,,14381,4612317,904,Y,PA14_51950,GID5580,183,195,,,"hypothetical protein",PA14_51950(183/195),GID5580,,,,,,,
ExMr_nr_mas_01_1,A6,16,1,11,4,2,22,,14459,2527984,218,Y,PA14_29220,GID1174,131,1308,PA2700,,porin,PA14_29220(131/1308),GID1174,PA2700,,,,,,
ExMr_nr_mas_01_1,A7,16,1,13,4,2,26,,14469,2823219,127,Y,PA14_32470,GID5296,6,273,PA2487,,"hypothetical protein",PA14_32470(6/273),GID5296,PA2487,,,,,,
ExMr_nr_mas_01_1,A8,16,1,15,4,2,30,,14549,3935677,799,Y,PA14_44230,GID5734,9,189,,,"hypothetical protein",PA14_44230(9/189),GID5734,,,,,,,
ExMr_nr_mas_01_1,A9,16,1,17,4,2,34,,14566,1715971,222,Y,PA14_19910,GID2142,215,1002,PA3416,,"pyruvate dehydrogenase E1 component, beta chain","""beta subunit""""""",PA14_19910(215/1002),GID2142,PA3416,"""""""Unknown source. This mutant was picked from well eUsU_MrT7_152:F10""","""but resequencing of the transposon junction of a purified colony showed that it was identical to mutant 14532.""""""",,,"COG1154|Deoxyxylulose-5-phosphate synthase [Coenzyme metabolism / Lipid metabolism]"
ExMr_nr_mas_01_1,A10,16,1,19,4,2,38,,14652,2535816,583,Y,PA14_29320,GID1528,12,1206,PA2691,,"NADH dehydrogenase, FAD-containing subunit","""""""PA14_29320(12/1206)""","""PA14_29310*(1378/1518)""""""","""""""GID1528""","""GID6135""""""",PA2691,,,,"COG1249|Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes [Energy production and conversion]"
ExMr_nr_mas_01_1,A11,16,1,21,4,2,42,,14784,3706174,1211,Y,PA14_41530,GID154,128,2451,PA1781,nirB,"assimilatory nitrite reductase large subunit",PA14_41530(128/2451),GID154,PA1781,,,,,,"COG0492|Thioredoxin reductase [Posttranslational modification, protein turnover, chaperones]"
ExMr_nr_mas_01_1,A12,16,1,23,4,2,46,,14928,3855060,498,Y,PA14_43270,GID1690,157,1110,PA1643,,"tRNA 2-selenouridine synthase","""""""PA14_43270(157/1110)""","""PA14_43260*(996/1350)""""""","""""""GID1690""","""GID3935""""""",PA1643,,,,"COG2603|Predicted ATPase [General function prediction only]"
ExMr_nr_mas_01_1,B1,16,3,1,4,6,2,,15016,5045967,238,Y,PA14_56640,GID1705,14,1167,PA4355,,"MFS transporter","""""""PA14_56640(14/1167)""","""PA14_56630*(132/1308)""""""","""""""GID1705""","""GID6645""""""",PA4355,,,,"COG2814|Arabinose efflux permease [Carbohydrate transport and metabolism]"
ExMr_nr_mas_01_1,B2,16,3,3,4,6,6,,15023,1374238,121,Y,PA14_16130,GID1391,57,1230,PA3733,,"hypothetical protein","""""""PA14_16130(57/1230)""","""PA14_16120*(1195/1299)""""""","""""""GID1391""","""GID6422""""""",PA3733,,,,"COG1804|Predicted acyl-CoA transferases/carnitine dehydratase [Energy production and conversion]"
ExMr_nr_mas_01_1,B3,16,3,5,4,6,10,,15036,6519428,246,Y,PA14_73200,GID4212,141,510,PA5551,,"hypothetical protein","""""""PA14_73200(141/510)""","""PA14_73210*(21/2178)""""""","""""""GID4212""","""GID6984""""""",PA5551,,,,"COG4942|Membrane-bound metallopeptidase [Cell division and chromosome partitioning]"
ExMr_nr_mas_01_1,B4,16,3,7,4,6,14,,15371,3222046,825,Y,PA14_36170,GID786,139,1521,PA2207,,"hypothetical protein","""""""PA14_36170(139/1521)""","""PA14_36160*(1479/1704)""""""","""""""GID786""","""GID5927""""""",PA2207,,,,"COG3333|Uncharacterized protein conserved in bacteria [Function unknown]"
ExMr_nr_mas_01_1,B5,16,3,9,4,6,18,,15755,934758,351,Y,PA14_10800,GID2628,786,891,PA4109,ampR,"transcriptional regulator AmpR",PA14_10800(786/891),GID2628,PA4109,,,,,,"COG0583|Transcriptional regulator [Transcription]"
ExMr_nr_mas_01_1,B6,16,3,11,4,6,22,,15766,443939,42.1,Y,PA14_05050,GID3934,252,594,PA0387,,"deoxyribonucleotide triphosphate pyrophosphatase",PA14_05050(252/594),GID3934,PA0387,,,,,,"COG0127|Xanthosine triphosphate pyrophosphatase [Nucleotide transport and metabolism]"
ExMr_nr_mas_01_1,B7,16,3,13,4,6,26,,15779,4463323,127,Y,PA14_50250,GID4885,3,381,PA1095,fliS,"flagellar protein FliS",PA14_50250(3/381),GID4885,PA1095,,,,,,"COG1516|Flagellin-specific chaperone FliS [Cell motility and secretion / Intracellular trafficking and secretion / Posttranslational modification, protein turnover, chaperones]"
ExMr_nr_mas_01_1,B8,16,3,15,4,6,30,,15782,6123634,42.1,Y,PA14_68680,GID1183,1135,1320,PA5199,envZ,"two-component sensor EnvZ","""""""PA14_68680(1135/1320)""","""PA14_68690*(90/1539)""""""","""""""GID1183""","""GID6883""""""",PA5199,,,,"COG3850|Signal transduction histidine kinase, nitrate/nitrite-specific [Signal transduction mechanisms]"
ExMr_nr_mas_01_1,B9,16,3,17,4,6,34,,15886,4457315,85.7,Y,PA14_50140,GID517,212,1797,PA1101,fliF,"flagellar MS-ring protein","""""""PA14_50140(212/1797)""","""PA14_50150*(1502/1755)""""""","""""""GID517""","""GID5605""""""",PA1101,,,,"COG4669|Type III secretory pathway, lipoprotein EscJ [Intracellular trafficking and secretion]"
ExMr_nr_mas_01_1,B10,16,3,19,4,6,38,,15917,2770619,440,Y,PA14_31850,GID871,1180,1434,PA2529,,"hypothetical protein","""""""PA14_31850(1180/1434)""","""PA14_31860*(201/1473)""""""","""""""GID871""","""GID6048""""""",PA2529,,,,"COG0312|Predicted Zn-dependent proteases and their inactivated homologs [General function prediction only]"
ExMr_nr_mas_01_1,B11,16,3,21,4,6,42,,18633,6331217,200,Y,EMPTY,,,,,,,PA14_71050*(27/1656),GID6940,,,,,,,
ExMr_nr_mas_01_1,B12,16,3,23,4,6,46,,18659,6429011,246,Y,PA14_72140,GID2344,824,945,PA5466,,"hypothetical protein","""""""PA14_72140(824/945)""","""PA14_72120*(35/1371)""""""","""""""GID2344""","""GID6962""""""",PA5466,,,,"COG0679|Predicted permeases [General function prediction only]"
ExMr_nr_mas_01_1,C1,16,5,1,4,10,2,,22330,5701772,1090,Y,PA14_63970,GID1538,1148,1155,PA4838,,"hypothetical protein","""""""PA14_63970(1148/1155)""","""PA14_63980*(223/351)""""""","""""""GID1538""","""GID6776""""""",PA4838,,,,"COG3503|Predicted membrane protein [Function unknown]"
ExMr_nr_mas_01_1,C2,16,5,3,4,10,6,,22331,6380316,993,Y,PA14_71630,GID1928,283,1029,PA5427,adhA,"alcohol dehydrogenase","""zinc-containing""""""",PA14_71630(283/1029),GID1928,PA5427,,,,,"COG2130|Putative NADP-dependent oxidoreductases [General function prediction only]"
ExMr_nr_mas_01_1,C3,16,5,5,4,10,10,,22339,2254515,396,Y,PA14_25830,GID3901,219,570,PA2954,,"hypothetical protein",PA14_25830(219/570),GID3901,PA2954,,,,,,"COG3816|Uncharacterized protein conserved in bacteria [Function unknown]"
ExMr_nr_mas_01_1,C4,16,5,7,4,10,14,,22343,1229287,957,Y,PA14_14420,GID6479,125,480,,,"hypothetical protein","""""""PA14_14420(125/480)""","""PA14_14410*(413/753)""""""","""""""GID6479""","""GID7270""""""",,,,,
ExMr_nr_mas_01_1,C5,16,5,9,4,10,18,,22398,5045903,264,Y,PA14_56620,GID5108,301,303,PA4354,,"hypothetical protein","""""""PA14_56620(301/303)""","""PA14_56630*(68/1308)""""""","""""""GID5108""","""GID6645""""""",PA4354,,,,"COG1777|Predicted transcriptional regulators [Transcription]"
